Step 191 (105 ms) -- loss_pure: 770.6183, loss_model: 8.9999, loss_noise: 761.6185, loss: 781.3952, learning_rate: 0.0300
Step 192 (108 ms) -- loss_pure: 776.3672, loss_model: 9.1460, loss_noise: 767.2212, loss: 787.1534, learning_rate: 0.0300
Step 193 (113 ms) -- loss_pure: 832.4310, loss_model: 9.7494, loss_noise: 822.6815, loss: 843.2258, learning_rate: 0.0300
Step 194 (108 ms) -- loss_pure: 853.1124, loss_model: 9.7029, loss_noise: 843.4095, loss: 863.9152, learning_rate: 0.0300
Step 195 (107 ms) -- loss_pure: 891.3079, loss_model: 9.5712, loss_noise: 881.7368, loss: 902.1182, learning_rate: 0.0300
Step 196 (107 ms) -- loss_pure: 849.3138, loss_model: 8.1271, loss_noise: 841.1867, loss: 860.1309, learning_rate: 0.0300
Step 197 (107 ms) -- loss_pure: 837.7613, loss_model: 9.6749, loss_noise: 828.0864, loss: 848.5848, learning_rate: 0.0300
Step 198 (109 ms) -- loss_pure: 825.9378, loss_model: 8.6625, loss_noise: 817.2753, loss: 836.7676, learning_rate: 0.0300
Step 199 (106 ms) -- loss_pure: 615.3123, loss_model: 9.2891, loss_noise: 606.0231, loss: 626.1492, learning_rate: 0.0300
Step 200 (109 ms) -- loss_pure: 631.9708, loss_model: 9.6798, loss_noise: 622.2910, loss: 642.8171, learning_rate: 0.0300
Step 201 (104 ms) -- loss_pure: 655.3454, loss_model: 9.7078, loss_noise: 645.6376, loss: 666.2035, learning_rate: 0.0300
